height,price,dealNumber,SectorStartEpoch,StartEpoch,LabelShort,TotalSize
257000,12500000,1,257607,258262,1,67108864
257000,0,140,257006,273977,114,3716220452864
256000,19800000000,1,256517,263387,1,2147483648
256000,16000000000,1,256496,256581,1,34359738368
256000,12500000000,1,256264,259970,1,134217728
256000,8000000000,1,256104,260815,1,17179869184
256000,6000000000,2,256301,262763,2,4294967296
256000,5000000000,2,256354,263583,2,2147483648
256000,4950000000,1,256517,263480,1,536870912
256000,4000000000,5,256037,258188,5,42949672960
256000,3500000000,1,256019,259369,1,1073741824
256000,3000000000,8,256301,262578,8,8589934592
256000,2000000000,15,256009,258533,15,64424509440
256000,1750000000,1,256352,262108,1,536870912
256000,1250000000,3,256333,259999,3,671088640
256000,1000000000,10,256715,259778,10,21474836480
256000,800000000,1,256716,259705,1,8589934592
256000,625000000,1,256354,263660,1,134217728
256000,540000000,2,256320,260460,2,2147483648
256000,500000000,3,256715,261864,3,3221225472
256000,400000000,12,256136,257162,12,25769803776
256000,375000000,1,256301,259918,1,134217728
256000,250000000,8,256715,261430,8,4294967296
256000,200000000,6,256136,257188,6,8589934592
256000,125000000,3,256715,262175,3,805306368
256000,100000000,3,256136,257358,3,2684354560
256000,62500000,2,256715,262188,2,268435456
256000,20000000,4,256013,259111,1,524288
256000,7812500,1,256715,259786,1,16777216
256000,781250,1,256949,261377,1,8388608
256000,625000,1,256178,260242,1,134217728
256000,2000,10,256391,263462,10,21474836480
256000,1000,2,256391,261911,2,2147483648
256000,500,3,256391,263808,3,1610612736
256000,0,175,256002,260778,154,4359391805440
255000,200000000000,17,255318,259686,17,36507222016
255000,20000000000,7,255000,262220,7,15032385536
255000,19800000000,3,255078,262172,3,6442450944
255000,16000000000,1,255081,256973,1,34359738368
255000,10000000000,8,255000,257766,8,15032385536
255000,9900000000,1,255571,262693,1,1073741824
255000,7000000000,1,255022,261082,1,2147483648
255000,5000000000,4,255000,262512,4,2684354560
255000,4950000000,4,255078,262031,4,2147483648
255000,4000000000,11,255062,256812,11,94489280512
255000,3500000000,1,255740,262558,1,1073741824
255000,2500000000,4,255668,262255,4,2147483648
255000,2475000000,2,255078,262251,2,536870912
255000,2000000000,1,255835,260303,1,4294967296
255000,1750000000,1,255740,262523,1,536870912
255000,1250000000,4,255000,259956,4,805306368
255000,1000000000,17,255062,259008,17,38654705664
255000,625000000,2,255104,259926,2,268435456
255000,540000000,11,255186,260348,4,11811160064
255000,500000000,5,255186,262202,5,5368709120
255000,400000000,9,255730,256798,9,19327352832
255000,250000000,1,255186,262425,1,536870912
255000,200000000,22,255251,256853,22,38654705664
255000,154687500,1,255571,260303,1,16777216
255000,125000000,4,255186,259900,3,939524096
255000,100000000,10,255270,262136,10,10737418240
255000,78125000,1,255647,260303,1,16777216
255000,62500000,6,255186,259883,6,805306368
255000,50000000,8,255270,256821,8,3489660928
255000,39062500,1,255000,259125,1,4194304
255000,31250000,1,255723,259876,1,134217728
255000,25000000,3,255270,257009,3,671088640
255000,20000000,17,255045,259096,2,2228224
255000,12500000,2,255937,263104,2,268435456
255000,3906250,1,255186,259324,1,8388608
255000,10000,4,255605,256724,4,6979321856
255000,2000,1,255347,257292,1,2147483648
255000,1000,1,255347,256963,1,1073741824
255000,62,1,255832,259897,1,134217728
255000,0,166,255005,259908,122,5152484360192
254000,19800000000,1,254660,261876,1,2147483648
254000,10000000000,1,254984,261992,1,2147483648
254000,6000000000,4,254964,261686,4,8589934592
254000,5000000000,1,254647,261628,1,1073741824
254000,4000000000,2,254346,255850,2,17179869184
254000,3000000000,1,254964,262408,1,1073741824
254000,2500000000,1,254647,261654,1,536870912
254000,1750000000,1,254836,261277,1,536870912
254000,1500000000,2,254964,262129,2,1073741824
254000,1250000000,1,254984,261999,1,268435456
254000,1000000000,12,254078,256903,12,23639097344
254000,875000000,1,254836,261400,1,268435456
254000,500000000,13,254078,255705,9,13958643712
254000,400000000,7,254462,255490,7,15032385536
254000,375000000,1,254964,261896,1,134217728
254000,250000000,5,254078,257620,5,2684354560
254000,200000000,8,254462,255862,8,12884901888
254000,125000000,3,254078,257454,3,805306368
254000,100000000,5,254462,255764,5,4831838208
254000,62500000,1,254078,258392,1,134217728
254000,50000000,1,254533,261822,1,536870912
254000,31250000,1,254484,259444,1,67108864
254000,25000000,1,254533,259046,1,268435456
254000,20000000,40,254004,259095,2,5242880
254000,19531250,1,254345,259125,1,4194304
254000,12500000,1,254533,261889,1,134217728
254000,7812500,1,254789,259446,1,8388608
254000,0,113,254000,270990,111,3059090456576
253000,200000000000,17,253296,257526,17,36507222016
253000,16000000000,1,253396,258075,1,34359738368
253000,14000000000,1,253775,261117,1,4294967296
253000,8000000000,1,253988,257632,1,17179869184
253000,7000000000,2,253775,261062,2,4294967296
253000,5000000000,2,253442,257759,2,1073741824
253000,4950000000,1,253888,261108,1,536870912
253000,4000000000,3,253202,255836,3,25769803776
253000,3500000000,1,253171,259818,1,1073741824
253000,2441406250,1,253750,253765,1,262144
253000,2000000000,1,253117,260480,1,2147483648
253000,1250000000,1,253573,261093,1,268435456
253000,1000000000,8,253004,257340,8,10905190400
253000,875000000,1,253775,261181,1,268435456
253000,610351562,1,253720,253842,1,65536
253000,500000000,2,253442,257437,2,2147483648
253000,400000000,3,253341,257456,3,6442450944
253000,200000000,3,253341,257360,3,5368709120
253000,125000000,2,253195,256973,2,536870912
253000,100000000,6,253406,259788,6,6442450944
253000,50000000,2,253406,259924,2,1073741824
253000,25000000,1,253406,257522,1,268435456
253000,20000000,2,253880,259112,1,262144
253000,12500000,1,253786,261027,1,134217728
253000,198749,2,253013,257453,2,2048
253000,198714,2,253013,257497,2,2048
253000,47683,1,253013,257583,1,1024
253000,10000,16,253274,255779,16,32749125632
253000,1991,2,253298,256934,2,2048
253000,1987,1,253298,257454,1,1024
253000,0,200,253014,270976,195,5670430572544
252000,200000000000,2,252207,259206,2,4294967296
252000,62500000000,1,252195,256706,1,67108864
252000,20000000000,1,252423,258545,1,2147483648
252000,10000000000,2,252063,258007,2,3221225472
252000,9900000000,1,252913,259818,1,1073741824
252000,8000000000,1,252630,255152,1,17179869184
252000,5000000000,1,252291,257775,1,1073741824
252000,4000000000,1,252251,252988,1,8589934592
252000,2000000000,1,252251,253066,1,4294967296
252000,1000000000,3,252447,257608,1,12884901888
252000,500000000,1,252386,254691,1,1073741824
252000,62500000,1,252251,253797,1,134217728
252000,31250000,9,252251,253447,9,603979776
252000,15625000,2,252251,253348,2,67108864
252000,7812500,7,252251,253151,7,117440512
252000,3906250,21,252251,252901,21,176160768
252000,1953125,41,252251,252901,41,171966464
252000,976562,19,252251,252905,19,39845888
252000,488281,26,252251,252891,26,27262976
252000,244140,25,252251,252940,25,13107200
252000,198892,1,252836,257272,1,1024
252000,122070,35,252251,252924,35,9175040
252000,61035,37,252251,252869,37,4849664
252000,30517,31,252251,252885,31,2031616
252000,15258,26,252251,252870,26,851968
252000,7629,24,252251,252867,24,393216
252000,3814,2,252251,253016,2,16384
252000,0,233,252002,268085,232,6551972610048
251000,20000000000,10,251767,255927,10,21474836480
251000,19800000000,2,251409,258486,2,4294967296
251000,8000000000,1,251428,256123,1,17179869184
251000,5000000000,1,251560,256610,1,536870912
251000,4000000000,1,251428,255952,1,8589934592
251000,2500000000,2,251560,254253,2,536870912
251000,1000000000,16,251640,254437,16,34359738368
251000,625000000,1,251560,256480,1,67108864
251000,500000000,9,251640,256025,9,9663676416
251000,400000000,3,251014,256384,3,6442450944
251000,250000000,6,251640,256849,6,3221225472
251000,200000000,27,251014,256340,27,55834574848
251000,125000000,1,251643,254503,1,268435456
251000,100000000,29,251014,255240,29,29527900160
251000,62500000,15,251378,252362,14,2013265920
251000,50000000,6,251740,256694,6,3221225472
251000,31250000,4,251378,253424,4,268435456
251000,25000000,3,251740,257074,3,805306368
251000,15625000,5,251378,252812,4,167772160
251000,12500000,4,251700,257316,4,536870912
251000,7812500,14,251378,252526,14,234881024
251000,6250000,1,251700,258262,1,67108864
251000,3906250,77,251061,251544,73,645922816
251000,1953125,154,251378,251982,134,645922816
251000,976562,90,251378,252026,85,188743680
251000,488281,117,251378,251944,110,122683392
